% scheduler  IMSI       RxBytes 
FdBet        9         318734 
FdMt         9         315744  
FdTbfq       9         3125 
PssFf        9         315744 
RrFf         9         318734 
TdBet        9         315744 
TdMt         9         315744 
TdTbfq       9         315744 
Tta          9         315744 
